"hexagono","Brachymyrmex heeri","Cardiocondyla minutior","Dorymyrmex antillana","Monomorium pharaonis","Paratrechina longicornis","Pheidole subarmata","Solenopsis geminata","Tetramorium bicarinatum","Tetramorium lanuginosum"
"H0046",0,0,1,0,0,0,0,0,0
"H0394",0,0,0,0,0,1,0,0,0
"H0420",1,0,0,0,0,0,0,0,1
"H0548",1,1,1,0,0,1,0,0,0
"H0827",0,0,1,0,1,0,1,0,0
"H0836",0,0,1,0,0,0,1,0,0
"H0910",1,0,1,0,0,0,1,0,0
"H0990",1,0,1,0,0,0,0,0,0
"H1014",1,0,0,0,0,0,1,1,0
"H1243",1,0,1,1,0,0,0,0,0
"H1256",0,0,1,0,0,0,1,0,0
"H1301",0,0,1,0,1,0,1,0,0
"H1385",1,0,1,0,0,0,1,0,0
"H1394",0,0,1,0,0,0,1,1,0
"H1426",0,0,1,0,0,0,1,1,0
