"hexagono","Brachymyrmex heeri","Cardiocondyla emeryi","Dorymyrmex antillana","Paratrechina longicornis","Paratrechina sp.","Pheidole subarmata","Pseudomyrmex subater","Solenopsis geminata"
"H0056",1,0,1,0,0,0,0,0
"H0088",1,0,0,0,0,0,0,1
"H0191",0,1,1,1,0,1,1,0
"H0202",1,0,0,0,1,0,0,0
"H0345",0,0,1,1,0,0,0,1
"H0365",1,0,0,0,1,1,0,1
"H0390",0,0,1,1,0,0,0,0
"H0421",0,0,1,0,1,0,0,0
"H0518",1,0,1,1,0,0,0,0
"H0540",0,0,0,0,0,1,0,0
"H0561",1,0,1,1,1,0,0,1
"H0590",1,0,0,1,0,0,0,0
"H1008",0,0,1,0,0,0,0,0
"H1401",1,0,0,1,0,0,0,0
