"hexagono","Brachymyrmex heeri","Brachymyrmex sp.","Cardiocondyla emeryi","Crematogaster steinheili","Cyphomyrmex rimosus","Dorymyrmex antillana","Monomorium floricola","Monomorium pharaonis","Paratrechina longicornis","Pheidole subarmata","Pseudomyrmex cubaensis","Solenopsis geminata","Tapinoma melanocephalum","Tetramorium caldarium","Tetramorium lanuginosum","Wasmannia auropunctata"
"H0098",1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"H0192",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"H0333",0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"H0375",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"H0488",1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
"H0717",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H0781",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"H0796",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"H0815",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"H0867",1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
"H1043",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"H1219",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"H1318",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"H1337",1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
